Study Name	Cu-110
Sample Name	2024-05-01
Run Name	cooldown
Operator	Angus+Akarsh
Date	5/1/2024
Time	14:47
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	2:52:28 PM
	
Time	Amplitude
2.585000E-8	6.098041E-4
2.590000E-8	8.838753E-4
2.595000E-8	1.072299E-3
2.600000E-8	1.178502E-3
2.605000E-8	1.267575E-3
2.610000E-8	1.349796E-3
2.615000E-8	1.373778E-3
2.620000E-8	1.349796E-3
2.625000E-8	1.325815E-3
2.630000E-8	1.294982E-3
2.635000E-8	1.243594E-3
2.640000E-8	1.185354E-3
2.645000E-8	1.157947E-3
2.650000E-8	1.137391E-3
2.655000E-8	1.096280E-3
2.660000E-8	1.020911E-3
2.665000E-8	9.215601E-4
2.670000E-8	8.085057E-4
2.675000E-8	6.748960E-4
2.680000E-8	4.967497E-4
2.685000E-8	2.774928E-4
2.690000E-8	6.851346E-5
2.695000E-8	-1.199105E-4
2.700000E-8	-2.946309E-4
2.705000E-8	-4.179629E-4
2.710000E-8	-5.138879E-4
2.715000E-8	-6.235163E-4
2.720000E-8	-7.194413E-4
2.725000E-8	-7.571261E-4
2.730000E-8	-7.537002E-4
2.735000E-8	-7.502743E-4
2.740000E-8	-7.331448E-4
2.745000E-8	-6.988859E-4
2.750000E-8	-6.440717E-4
2.755000E-8	-5.721280E-4
2.760000E-8	-4.864807E-4
2.765000E-8	-3.700005E-4
2.770000E-8	-2.021319E-4
2.775000E-8	6.847442E-6
2.780000E-8	2.363821E-4
2.785000E-8	4.761944E-4
2.790000E-8	7.091549E-4
2.795000E-8	9.044306E-4
2.800000E-8	1.068873E-3
2.805000E-8	1.195631E-3
2.810000E-8	1.260723E-3
2.815000E-8	1.257297E-3
2.820000E-8	1.202483E-3
2.825000E-8	1.079151E-3
2.830000E-8	9.010048E-4
2.835000E-8	7.194326E-4
2.840000E-8	5.275827E-4
2.845000E-8	3.288811E-4
2.850000E-8	1.884196E-4
2.855000E-8	1.336054E-4
2.860000E-8	9.592058E-5
2.865000E-8	6.508757E-5
2.870000E-8	7.536524E-5
2.875000E-8	8.564291E-5
2.880000E-8	5.823579E-5
2.885000E-8	-6.856118E-6
2.890000E-8	-1.164846E-4
2.895000E-8	-2.569461E-4
2.900000E-8	-4.179629E-4
2.905000E-8	-6.098128E-4
2.910000E-8	-8.050885E-4
2.915000E-8	-9.284206E-4
2.920000E-8	-9.626795E-4
2.925000E-8	-9.455500E-4
2.930000E-8	-8.667545E-4
2.935000E-8	-7.194413E-4
2.940000E-8	-5.207396E-4
2.945000E-8	-2.912050E-4
2.950000E-8	-3.426324E-5
2.955000E-8	2.432339E-4
2.960000E-8	4.864721E-4
2.965000E-8	6.646183E-4
2.970000E-8	8.085057E-4
2.975000E-8	9.318378E-4
2.980000E-8	1.000356E-3
2.985000E-8	1.003781E-3
2.990000E-8	1.007207E-3
2.995000E-8	1.017485E-3
3.000000E-8	9.900779E-4
3.005000E-8	9.386895E-4
3.010000E-8	8.941530E-4
3.015000E-8	8.496164E-4
3.020000E-8	7.982281E-4
3.025000E-8	7.605433E-4
3.030000E-8	7.057290E-4
3.035000E-8	6.132300E-4
3.040000E-8	5.138792E-4
3.045000E-8	4.316578E-4
3.050000E-8	3.357329E-4
3.055000E-8	2.329562E-4
3.060000E-8	1.438830E-4
3.065000E-8	6.166168E-5
3.070000E-8	-3.083735E-5
3.075000E-8	-1.233364E-4
3.080000E-8	-1.987060E-4
3.085000E-8	-2.809273E-4
3.090000E-8	-3.631487E-4
3.095000E-8	-4.179629E-4
3.100000E-8	-4.487959E-4
3.105000E-8	-4.522218E-4
3.110000E-8	-4.385183E-4
3.115000E-8	-4.076853E-4
3.120000E-8	-3.528710E-4
3.125000E-8	-2.740755E-4
3.130000E-8	-1.952801E-4
3.135000E-8	-1.267623E-4
3.140000E-8	-6.167036E-5
3.145000E-8	3.421552E-6
3.150000E-8	3.768045E-5
3.155000E-8	6.166168E-5
3.160000E-8	1.027724E-4
3.165000E-8	1.507348E-4
3.170000E-8	1.815678E-4
3.175000E-8	2.089750E-4
3.180000E-8	2.432339E-4
3.185000E-8	2.672151E-4
3.190000E-8	2.946222E-4
3.195000E-8	3.186034E-4
3.200000E-8	3.323070E-4
3.205000E-8	3.186034E-4
3.210000E-8	2.877704E-4
3.215000E-8	2.261044E-4
3.220000E-8	1.267536E-4
3.225000E-8	-3.430228E-6
3.230000E-8	-1.233364E-4
3.235000E-8	-2.192613E-4
3.240000E-8	-3.288898E-4
3.245000E-8	-4.624995E-4
3.250000E-8	-5.789798E-4
3.255000E-8	-6.714788E-4
3.260000E-8	-7.331448E-4
3.265000E-8	-7.708296E-4
3.270000E-8	-7.811073E-4
3.275000E-8	-7.708296E-4
3.280000E-8	-7.262930E-4
3.285000E-8	-6.440717E-4
3.290000E-8	-5.549985E-4
3.295000E-8	-4.899066E-4
3.300000E-8	-3.939817E-4
3.305000E-8	-2.637979E-4
3.310000E-8	-1.267623E-4
3.315000E-8	-3.430228E-6
3.320000E-8	1.301795E-4
3.325000E-8	2.911963E-4
3.330000E-8	4.522132E-4
3.335000E-8	6.098041E-4
3.340000E-8	7.742468E-4
3.345000E-8	9.523931E-4
3.350000E-8	1.092855E-3
3.355000E-8	1.178502E-3
3.360000E-8	1.240168E-3
3.365000E-8	1.284704E-3
3.370000E-8	1.247020E-3
3.375000E-8	1.123688E-3
3.380000E-8	9.866520E-4
3.385000E-8	8.667459E-4
3.390000E-8	7.365620E-4
3.395000E-8	6.098041E-4
3.400000E-8	5.173051E-4
3.405000E-8	4.419355E-4
3.410000E-8	3.905471E-4
3.415000E-8	3.665659E-4
3.420000E-8	3.425847E-4
3.425000E-8	3.151776E-4
3.430000E-8	3.117517E-4
3.435000E-8	3.083258E-4
3.440000E-8	2.740669E-4
3.445000E-8	2.329562E-4
3.450000E-8	1.986973E-4
3.455000E-8	1.438830E-4
3.460000E-8	6.166168E-5
3.465000E-8	-2.398557E-5
3.470000E-8	-1.027810E-4
3.475000E-8	-1.644471E-4
3.480000E-8	-1.952801E-4
3.485000E-8	-1.987060E-4
3.490000E-8	-1.850024E-4
3.495000E-8	-1.610212E-4
3.500000E-8	-1.370399E-4
3.505000E-8	-1.164846E-4
3.510000E-8	-7.537392E-5
3.515000E-8	-2.055968E-5
3.520000E-8	6.847442E-6
3.525000E-8	2.055100E-5
3.530000E-8	6.851346E-5
3.535000E-8	1.233277E-4
3.540000E-8	1.301795E-4
3.545000E-8	1.164759E-4
3.550000E-8	1.164759E-4
3.555000E-8	1.267536E-4
3.560000E-8	1.130500E-4
3.565000E-8	1.061983E-4
3.570000E-8	1.267536E-4
3.575000E-8	1.610125E-4
3.580000E-8	1.712902E-4
3.585000E-8	1.507348E-4
3.590000E-8	1.233277E-4
3.595000E-8	1.027724E-4
3.600000E-8	6.851346E-5
3.605000E-8	1.027333E-5
3.610000E-8	-3.426324E-5
3.615000E-8	-5.139269E-5
3.620000E-8	-7.194803E-5
3.625000E-8	-9.250337E-5
3.630000E-8	-9.250337E-5
3.635000E-8	-7.879981E-5
3.640000E-8	-5.481858E-5
3.645000E-8	-2.055968E-5
3.650000E-8	2.397689E-5
3.655000E-8	7.536524E-5
3.660000E-8	1.267536E-4
3.665000E-8	1.712902E-4
3.670000E-8	2.158267E-4
3.675000E-8	2.637892E-4
3.680000E-8	2.980481E-4
3.685000E-8	3.151776E-4
3.690000E-8	3.288811E-4
3.695000E-8	3.186034E-4
3.700000E-8	2.809186E-4
3.705000E-8	2.363821E-4
3.710000E-8	1.952714E-4
3.715000E-8	1.267536E-4
3.720000E-8	5.138401E-5
3.725000E-8	-6.856118E-6
3.730000E-8	-5.139269E-5
3.735000E-8	-9.250337E-5
3.740000E-8	-9.935515E-5
3.745000E-8	-8.222570E-5
3.750000E-8	-4.796680E-5
3.755000E-8	1.027333E-5
3.760000E-8	7.536524E-5
3.765000E-8	1.267536E-4
3.770000E-8	1.712902E-4
3.775000E-8	1.815678E-4
3.780000E-8	1.061983E-4
3.785000E-8	-1.028201E-5
3.790000E-8	-1.027810E-4
3.795000E-8	-2.055577E-4
3.800000E-8	-3.597228E-4
3.805000E-8	-5.001843E-4
3.810000E-8	-5.892574E-4
3.815000E-8	-6.440717E-4
3.820000E-8	-6.749047E-4
3.825000E-8	-6.509235E-4
3.830000E-8	-5.687021E-4
3.835000E-8	-4.453701E-4
3.840000E-8	-2.980568E-4
3.845000E-8	-1.370399E-4
3.850000E-8	4.110634E-5
3.855000E-8	2.055491E-4
3.860000E-8	3.528623E-4
3.865000E-8	5.001756E-4
3.870000E-8	6.509148E-4
3.875000E-8	7.673950E-4
3.880000E-8	8.290611E-4
3.885000E-8	8.838753E-4
3.890000E-8	9.284119E-4
3.895000E-8	9.112824E-4
3.900000E-8	8.564682E-4
3.905000E-8	7.913763E-4
3.910000E-8	6.885996E-4
3.915000E-8	5.378604E-4
3.920000E-8	3.802695E-4
3.925000E-8	2.055491E-4
3.930000E-8	3.421552E-6
3.935000E-8	-1.712988E-4
3.940000E-8	-2.946309E-4
3.945000E-8	-3.802781E-4
3.950000E-8	-4.248147E-4
3.955000E-8	-4.316665E-4
3.960000E-8	-4.248147E-4
3.965000E-8	-3.905558E-4
3.970000E-8	-2.877791E-4
3.975000E-8	-1.644471E-4
3.980000E-8	-4.111502E-5
3.985000E-8	1.061983E-4
3.990000E-8	2.603633E-4
3.995000E-8	3.734177E-4
4.000000E-8	4.727685E-4
4.005000E-8	5.961005E-4
4.010000E-8	6.885996E-4
4.015000E-8	7.297103E-4
4.020000E-8	7.331361E-4
4.025000E-8	6.954514E-4
4.030000E-8	6.440630E-4
4.035000E-8	6.132300E-4
4.040000E-8	5.584157E-4
4.045000E-8	4.727685E-4
4.050000E-8	4.179543E-4
4.055000E-8	3.905471E-4
4.060000E-8	3.391588E-4
4.065000E-8	2.740669E-4
4.070000E-8	2.535115E-4
4.075000E-8	2.672151E-4
4.080000E-8	2.843445E-4
4.085000E-8	3.254552E-4
4.090000E-8	3.802695E-4
4.095000E-8	4.145284E-4
4.100000E-8	4.282319E-4
4.105000E-8	4.590649E-4
4.110000E-8	4.933238E-4
4.115000E-8	5.001756E-4
4.120000E-8	4.727685E-4
4.125000E-8	4.076766E-4
4.130000E-8	3.391588E-4
